borsa,ticker,data,open,close,Giornaliero
S+ACY-P 500 (New York),SPY,02/01/2025,+ACI-589,39+ACI-,+ACI-584,64+ACI-,+ACI-+AC0-0,81+ACI-
S+ACY-P 500 (New York),SPY,03/01/2025,+ACI-587,53+ACI-,+ACI-591,95+ACI-,+ACI-0,75+ACI-
S+ACY-P 500 (New York),SPY,06/01/2025,+ACI-596,27+ACI-,+ACI-595,36+ACI-,+ACI-+AC0-0,15+ACI-
S+ACY-P 500 (New York),SPY,07/01/2025,+ACI-597,42+ACI-,+ACI-588,63+ACI-,+ACI-+AC0-1,47+ACI-
S+ACY-P 500 (New York),SPY,08/01/2025,+ACI-588,70+ACI-,+ACI-589,49+ACI-,+ACI-0,13+ACI-
S+ACY-P 500 (New York),SPY,10/01/2025,+ACI-585,88+ACI-,+ACI-580,49+ACI-,+ACI-+AC0-0,92+ACI-
S+ACY-P 500 (New York),SPY,13/01/2025,+ACI-575,77+ACI-,+ACI-581,39+ACI-,+ACI-0,98+ACI-
S+ACY-P 500 (New York),SPY,14/01/2025,+ACI-584,36+ACI-,+ACI-582,19+ACI-,+ACI-+AC0-0,37+ACI-
S+ACY-P 500 (New York),SPY,15/01/2025,+ACI-590,33+ACI-,+ACI-592,78+ACI-,+ACI-0,42+ACI-
S+ACY-P 500 (New York),SPY,16/01/2025,+ACI-594,17+ACI-,+ACI-591,64+ACI-,+ACI-+AC0-0,43+ACI-
S+ACY-P 500 (New York),SPY,17/01/2025,+ACI-596,96+ACI-,+ACI-597,58+ACI-,+ACI-0,10+ACI-
S+ACY-P 500 (New York),SPY,21/01/2025,+ACI-600,67+ACI-,+ACI-603,05+ACI-,+ACI-0,40+ACI-
S+ACY-P 500 (New York),SPY,22/01/2025,+ACI-605,92+ACI-,+ACI-606,44+ACI-,+ACI-0,09+ACI-
S+ACY-P 500 (New York),SPY,23/01/2025,+ACI-605,80+ACI-,+ACI-609,75+ACI-,+ACI-0,65+ACI-
S+ACY-P 500 (New York),SPY,24/01/2025,+ACI-609,81+ACI-,+ACI-607,97+ACI-,+ACI-+AC0-0,30+ACI-
S+ACY-P 500 (New York),SPY,27/01/2025,+ACI-594,81+ACI-,+ACI-599,37+ACI-,+ACI-0,77+ACI-
S+ACY-P 500 (New York),SPY,28/01/2025,+ACI-600,62+ACI-,+ACI-604,52+ACI-,+ACI-0,65+ACI-
S+ACY-P 500 (New York),SPY,29/01/2025,+ACI-603,72+ACI-,+ACI-601,81+ACI-,+ACI-+AC0-0,32+ACI-
S+ACY-P 500 (New York),SPY,30/01/2025,+ACI-603,96+ACI-,+ACI-605,04+ACI-,+ACI-0,18+ACI-
S+ACY-P 500 (New York),SPY,31/01/2025,+ACI-607,50+ACI-,+ACI-601,82+ACI-,+ACI-+AC0-0,93+ACI-
S+ACY-P 500 (New York),SPY,03/02/2025,+ACI-592,67+ACI-,+ACI-597,77+ACI-,+ACI-0,86+ACI-
